C1mean,C2meaninC1ROI,C2meaninC2ROI,C1StdDev,C2StdDev,WT.or.LOF.or.Auxin
355011.344,350878.99,361806.291,42.586,3028.569,Auxin
355837.167,351452.302,357710.025,483.814,577.08,Auxin
356289.73,350959.311,361774.578,815.028,3395.417,Auxin
357443.106,357621.412,364355.171,1745.115,5723.248,Auxin
356615.339,358282.949,365227.694,981.651,5839.892,Auxin
NA,NA,364280.961,NA,5066.537,Auxin
NA,NA,361000.871,NA,2741.98,Auxin
353939.884,350927.425,355478.004,80.132,621.909,Auxin
358830.467,351308.508,357291.242,3594.276,1908.042,Auxin
357362.86,351686.075,357112.607,2750.612,1945.976,Auxin
356345.515,351854.148,355287.55,1711.207,485.429,Auxin
355170.921,352251.441,355815.356,901.217,1014.013,Auxin
354932.75,350936.644,356589.206,688.261,1548.103,Auxin
358854.371,353063.034,356575.769,3478.665,1683.902,Auxin
355812.091,353063.449,355421.223,1477.59,595.566,Auxin
356762.135,354648.779,355764.208,2126.256,845.558,Auxin
355851.11,351014.101,359526.005,1447.957,3397.75,Auxin
354553.207,352327.181,356491.433,475.1,1366.606,Auxin
354173.062,350438.834,356214.906,242.733,1271.943,Auxin
356372.886,353155.133,359531.61,1686.51,4018.029,Auxin
353838.438,354230.469,356999.46,20.594,1826.365,Auxin
353847.898,350470.43,358147.992,26.2,2943.627,Auxin
356091.228,354251.193,361714.403,1452.715,5951.977,Auxin
354502.351,352855.383,NA,397.005,NA,Auxin
354034.884,355136.781,356521.332,63.113,1543.594,Auxin
356656.579,352149.633,358685.02,1860.054,3138.577,Auxin
358304.32,352371.057,355104.354,2963.901,525.045,Auxin
357043.18,352467.653,356630.046,2010.847,1524.89,Auxin
357902.248,352340.613,358480.776,3240.654,3082.14,Auxin
357126.935,351504.698,359315.055,2681.575,4007.678,Auxin
356469.494,353776.936,358901.413,1910.072,3366.697,Auxin
355368.905,351085.049,358695.117,1008.198,3435.326,Auxin
356205.007,351095.032,356791.814,1516.327,1515.978,Auxin
354179.656,351676.474,359283.463,198.634,3207.426,Auxin
357888.099,353559.858,356069.753,2694.987,1116.638,Auxin
355986.565,354045.991,355222.04,1390.899,476.578,Auxin
355869.113,352293.362,358187.477,1370.457,2695.736,Auxin
353924.177,352003.031,NA,32.882,NA,Auxin
354122.625,350370.835,355655.034,963.11,1239.85,Wildtype
354986.057,353593.696,358646.096,1543.106,3557.839,Wildtype
355222.887,352065.981,356961.093,1770.344,2045.502,Wildtype
354458.23,352434.663,355377.851,1289.829,1076.24,Wildtype
355352.439,352243.864,357534.99,2321.833,2888.902,Wildtype
354391.56,352053.823,356299.432,1218.309,1724.755,Wildtype
352839.796,351913.64,354803.156,71.68,727.635,Wildtype
354562.455,351003.901,355211.561,1199.71,940.718,Wildtype
354670.445,353296.894,356851.523,1348.972,2074.605,Wildtype
354731.203,351205.201,358524.61,1432.333,3407.52,Wildtype
355029.653,351786.744,354312.349,1578.259,318.155,Wildtype
355205.771,351406.629,359087.66,1979.075,3918.46,Wildtype
354453.927,352158.387,355874.623,1316.661,1495.729,Wildtype
355799.993,351697.683,354601.542,2337.196,403.592,Wildtype
356308.336,351275.393,357311.557,2605.008,2623.076,Wildtype
355041.147,351427.857,357332.356,1593.529,2370.996,Wildtype
353326.013,352852.701,355579.229,368.96,1198.314,Wildtype
352812.382,350366.101,353954.479,102.263,154.674,Wildtype
355451.271,352850.797,358186.975,2066.983,3196.788,Wildtype
354025.285,352804.653,NA,1183.633,NA,Wildtype
355248.83,350842.614,359336.43,1848.399,4531.539,Wildtype
357209.335,352509.365,355246.542,3098.866,566.055,Wildtype
356913.555,351917.708,356398.408,2680.703,1545.066,Wildtype
354187.465,352648.705,357274.214,644.423,2177.427,Wildtype
356635.38,352367.312,357581.576,2387.443,2437.894,Wildtype
356847.03,352293.036,356997.725,2930.566,1881.09,Wildtype
354151.555,351708.37,357911.395,567.03,2726.944,Wildtype
353814.364,350782.721,356681.708,261.526,1641.709,Wildtype
353796.968,353653.944,354669.71,310.973,237.377,Wildtype
355666.151,350502.942,358374.652,1629.517,2998.682,Wildtype
354991.891,350754.173,357505.024,1192.763,2297.74,Wildtype
354392.431,351568.158,356746.663,752.163,1386.47,Wildtype
354129.2,354461.258,360371.625,449.733,4483.978,Wildtype
354160.06,356715.875,359280.168,571.633,3837.255,Wildtype
353398.672,351713.781,356213.455,106.663,1472.986,Wildtype
353348.938,350377.729,357232.319,22.743,2222.41,Wildtype
353376.344,350561.062,NA,39.158,NA,Wildtype
353559.526,350405.971,NA,168.004,NA,Wildtype
354589.796,350738.352,NA,827.08,NA,Wildtype
353395.388,354695.433,NA,57.597,NA,Wildtype
353414.384,358298.429,NA,54.666,NA,Wildtype
354363.03,351723.398,357051.128,1941.022,2756.809,Wildtype
353718.448,351728.416,356769.284,1377.159,2447.74,Wildtype
353318.529,351822.5,356021.836,1057.955,1872.416,Wildtype
353542.078,353258.82,353623.912,1288.488,77.736,Wildtype
353170.192,352254.279,355523.683,1106.561,1388.493,Wildtype
352180.854,350740.282,356712.498,207.184,2365.187,Wildtype
353174.903,351259.559,354848.321,822.877,923.871,Wildtype
352918.843,352135.826,354580.796,916.471,707.438,Wildtype
353356.352,351407.664,353780.365,937.212,109.472,Wildtype
352786.566,350939.545,353654.125,647.967,109.487,Wildtype
353042.111,351823.233,359228.309,837.996,4441.716,Wildtype
NA,NA,356404.231,NA,2145.073,Wildtype
