Area,Mean,StdDev,Circ.,AR,Round,Solidity,WT.or.LOF.or.Auxin
0.172,359202.31,4168.544,0.963,1.234,0.81,0.931,Auxin
0.058,355326.927,967.697,1,1.204,0.831,0.889,Auxin
0.07,356094.003,1396.68,1,1.307,0.765,0.918,Auxin
0.201,359219.53,3966.804,0.881,1.604,0.623,0.937,Auxin
0.029,356606.641,639.291,1,1.209,0.827,0.889,Auxin
0.004,355925.453,130.218,1,2,0.5,1,Auxin
0.083,359709.531,2786.653,1,1.052,0.95,0.968,Auxin
0.094,360642.805,3383.828,0.982,1.163,0.86,0.881,Auxin
0.018,357947.969,1499.323,0.925,2.5,0.4,1,Auxin
0.067,358264.595,2051.304,1,1,1,0.902,Auxin
0.276,361237.273,4460.292,0.584,2.745,0.364,0.823,Auxin
0.072,359055.502,2380.294,1,1.149,0.87,0.92,Auxin
0.108,363175.124,5516.808,1,1.111,0.9,0.938,Auxin
0.157,361405.56,4368.265,0.957,1.349,0.741,0.93,Auxin
0.016,357335.705,1058.348,0.832,2.386,0.419,0.947,Auxin
0.179,362335.878,4864.061,0.915,1.479,0.676,0.9,Auxin
0.065,358558.859,1744.115,1,1.269,0.788,0.923,Auxin
0.052,360212.526,2112.019,1,1.076,0.929,0.906,Auxin
0.027,358114.819,911.933,1,1.127,0.887,0.857,Auxin
0.052,360217.519,2118.515,0.953,1.122,0.892,0.853,Auxin
0.049,359196.176,1491.69,0.993,1.346,0.743,0.947,Auxin
0.117,364294.454,5794.353,0.997,1.171,0.854,0.897,Auxin
0.005,356987.906,117.658,1,1.464,0.683,0.857,Auxin
0.103,362674.412,3897.483,0.985,1.397,0.716,0.927,Auxin
0.036,358538.144,1195.768,1,1.165,0.858,0.889,Auxin
0.166,366894.816,8258.822,0.964,1.236,0.809,0.915,Auxin
0.192,361806.291,3028.569,0.771,2.293,0.436,0.955,Auxin
0.018,357710.025,577.08,1,1.236,0.809,0.909,Auxin
0.121,361774.578,3395.417,0.987,1.435,0.697,0.912,Auxin
0.15,364355.171,5723.248,0.959,1.24,0.807,0.938,Auxin
0.099,365227.694,5839.892,0.91,1.317,0.759,0.917,Auxin
0.376,364280.961,5066.537,0.684,2.63,0.38,0.935,Auxin
0.13,361000.871,2741.98,0.804,2.188,0.457,0.911,Auxin
0.031,355478.004,621.909,1,1.263,0.792,0.919,Auxin
0.096,357291.242,1908.042,0.975,1.358,0.737,0.938,Auxin
0.083,357112.607,1945.976,0.992,1.281,0.781,0.92,Auxin
0.027,355287.55,485.429,1,1.137,0.88,0.968,Auxin
0.052,355815.356,1014.013,1,1.076,0.929,0.906,Auxin
0.069,356589.206,1548.103,1,1.055,0.948,0.905,Auxin
0.072,356575.769,1683.902,0.953,1.103,0.906,0.87,Auxin
0.027,355421.223,595.566,1,1.137,0.88,0.968,Auxin
0.042,355764.208,845.558,0.964,1.149,0.87,0.885,Auxin
0.21,359526.005,3397.75,0.868,1.71,0.585,0.951,Auxin
0.061,356491.433,1366.606,1,1.156,0.865,0.919,Auxin
0.067,356214.906,1271.943,1,1.378,0.725,0.892,Auxin
0.197,359531.61,4018.029,0.918,1.359,0.736,0.912,Auxin
0.031,356999.46,1826.365,0.786,2.133,0.469,0.919,Auxin
0.296,358147.992,2943.627,0.563,2.963,0.337,0.845,Auxin
0.215,361714.403,5951.977,0.917,1.413,0.708,0.944,Auxin
0.067,356521.332,1543.594,1,1.172,0.853,0.892,Auxin
0.117,358685.02,3138.577,0.973,1.34,0.746,0.915,Auxin
0.027,355104.354,525.045,1,1.127,0.887,0.857,Auxin
0.137,356630.046,1524.89,0.866,1.883,0.531,0.899,Auxin
0.17,358480.776,3082.14,0.909,1.427,0.701,0.895,Auxin
0.166,359315.055,4007.678,0.92,1.172,0.853,0.889,Auxin
0.157,358901.413,3366.697,0.943,1.503,0.665,0.916,Auxin
0.361,358695.117,3435.326,0.519,3.414,0.293,0.83,Auxin
0.067,356791.814,1515.978,1,1.187,0.842,0.937,Auxin
0.201,359283.463,3207.426,0.845,1.766,0.566,0.914,Auxin
0.089,356069.753,1116.638,0.943,1.605,0.623,0.925,Auxin
0.027,355222.04,476.578,1,1.137,0.88,0.968,Auxin
0.117,358187.477,2695.736,0.957,1.267,0.79,0.903,Auxin
0.094,366618.609,6538.915,0.939,1.46,0.685,0.897,Wildtype
0.004,358544.391,96.498,1,2,0.5,1,Wildtype
0.065,367004.286,5890.701,0.996,1.118,0.895,0.947,Wildtype
0.083,366719.944,6325.109,1,1.153,0.867,0.929,Wildtype
0.005,358512.354,135.445,1,1.464,0.683,0.857,Wildtype
0.063,363371.483,3582.929,0.947,1.392,0.718,0.864,Wildtype
0.155,366985.965,6359.427,0.872,1.71,0.585,0.91,Wildtype
0.251,368188.774,6932.337,0.688,2.785,0.359,0.936,Wildtype
0.188,364948.475,3957.635,0.639,3.01,0.332,0.897,Wildtype
0.038,360356.183,1608.663,1,1.315,0.761,0.84,Wildtype
0.002,358415.188,0,1,1,1,1,Wildtype
0.022,356233.974,511.088,1,1.579,0.633,0.889,Wildtype
0.018,356223.919,420.171,1,1.236,0.809,0.909,Wildtype
0.023,356599.478,639.917,0.956,1.551,0.645,0.929,Wildtype
0.042,357127.175,1114.933,0.938,1.225,0.816,0.852,Wildtype
0.013,355758.263,316.042,1,1.069,0.936,0.875,Wildtype
0.099,360190.677,3625.883,0.95,1.126,0.888,0.894,Wildtype
0.036,356982.778,918.633,1,1.435,0.697,0.909,Wildtype
0.067,358227.365,1883.649,0.948,1.358,0.736,0.892,Wildtype
0.094,359506.062,2849.009,0.982,1.422,0.703,0.897,Wildtype
0.107,360220.488,3431.41,1,1.398,0.715,0.937,Wildtype
0.139,361091.5,4144.163,0.923,1.613,0.62,0.922,Wildtype
0.049,357484.287,1247.555,1,1.286,0.777,0.9,Wildtype
0.208,363414.223,5756.48,0.818,1.898,0.527,0.92,Wildtype
0.155,362383.201,5418.503,0.933,1.429,0.7,0.905,Wildtype
0.087,353379.975,414.036,0.606,3.349,0.299,0.85,Wildtype
0.089,353341.108,448.322,0.667,2.557,0.391,0.845,Wildtype
0.159,353867.574,779.761,0.561,3.58,0.279,0.854,Wildtype
0.164,357317.257,3783.282,0.954,1.257,0.796,0.91,Wildtype
0.269,355469.919,2038.91,0.622,3.154,0.317,0.892,Wildtype
0.023,353133.887,296.033,1,1.159,0.863,0.897,Wildtype
0.043,353092.767,246.552,0.702,2.45,0.408,0.814,Wildtype
0.193,354184.973,1004.581,0.609,3.431,0.291,0.943,Wildtype
0.04,353500.562,508.616,0.988,1.24,0.807,0.863,Wildtype
0.083,355140.461,1673.165,0.992,1.047,0.955,0.92,Wildtype
0.136,355393.262,1946.309,1,1.359,0.736,0.943,Wildtype
0.02,353154.73,258.852,1,1.372,0.729,0.957,Wildtype
0.136,354050.257,941.647,0.967,1.538,0.65,0.926,Wildtype
0.155,355709.395,2318.62,0.914,1.369,0.731,0.92,Wildtype
0.231,356384.641,3153.053,0.829,1.918,0.521,0.928,Wildtype
0.199,356086.987,2428.317,0.888,1.645,0.608,0.905,Wildtype
0.173,355545.187,2099.323,0.887,1.699,0.589,0.901,Wildtype
0.02,352954.384,173.46,1,1.372,0.729,0.957,Wildtype
0.137,360543.975,4328.723,0.944,1.267,0.789,0.899,Wildtype
0.085,358598.372,2687.218,1,1.228,0.814,0.931,Wildtype
0.002,354962.812,0,1,1,1,1,Wildtype
0.069,357696.352,1860.624,1,1.296,0.771,0.916,Wildtype
0.054,356639.529,1247.844,0.986,1.245,0.804,0.87,Wildtype
0.061,360391.392,3762.104,0.941,1.564,0.64,0.944,Wildtype
0.036,355952.622,778.186,1,1.083,0.923,0.889,Wildtype
0.219,360687.117,4233.758,0.86,1.762,0.568,0.917,Wildtype
0.054,356653.302,1287.049,1,1.167,0.857,0.909,Wildtype
0.215,360560.568,4393.21,0.906,1.521,0.658,0.933,Wildtype
0.007,355046.164,80.133,1,1,1,1,Wildtype
0.072,357777.51,1950.109,1,1.234,0.81,0.92,Wildtype
0.107,357943.835,1876.319,0.803,1.513,0.661,0.881,Wildtype
0.19,361656.515,5085.882,0.953,1.523,0.656,0.946,Wildtype
0.061,357323.75,1587.774,1,1.251,0.799,0.907,Wildtype
0.168,361432.529,4831.938,0.943,1.501,0.666,0.921,Wildtype
0.13,360316.267,4009.681,0.929,1.296,0.771,0.9,Wildtype
0.121,360094.99,3822.105,0.948,1.281,0.78,0.912,Wildtype
0.15,359066.576,2785.003,0.913,1.557,0.642,0.917,Wildtype
0.058,357214.784,1556.945,1,1,1,0.941,Wildtype
0.052,356813.731,1250.087,1,1.107,0.903,0.892,Wildtype
0.074,358156.424,2203.099,0.976,1.185,0.844,0.891,Wildtype
0.114,363838.327,4907.635,0.921,1.244,0.804,0.955,Wildtype
0.166,364518.282,6189.565,0.932,1.218,0.821,0.915,Wildtype
0.074,360045.52,2263.033,0.976,1.292,0.774,0.872,Wildtype
0.067,361455.222,3497.025,0.9,1.235,0.809,0.914,Wildtype
0.108,362445.925,4256.209,0.936,1.161,0.862,0.896,Wildtype
0.033,358266.286,920.464,1,1.218,0.821,0.947,Wildtype
0.152,363165.75,4900.143,0.957,1.311,0.763,0.923,Wildtype
0.123,362501.79,4485.558,1,1.136,0.88,0.907,Wildtype
0.058,355859.29,1125.406,0.82,1.757,0.569,0.877,Wildtype
0.101,356978.182,2032.886,0.825,1.99,0.503,0.868,Wildtype
0.034,355058.599,639.093,1,1.548,0.646,0.905,Wildtype
0.065,356736.247,1688.557,0.903,1.414,0.707,0.847,Wildtype
0.033,355288.74,701.963,0.965,1.076,0.93,0.857,Wildtype
0.052,355987.052,1150.899,1,1.076,0.929,0.906,Wildtype
0.076,355642.478,951.212,0.772,2.334,0.428,0.884,Wildtype
0.159,359702.834,4443.422,1,1.145,0.873,0.926,Wildtype
0.213,359309.854,4136.55,0.794,2.067,0.484,0.922,Wildtype
0.051,355177.806,524.248,0.819,2.379,0.42,0.889,Wildtype
0.137,359546.064,3988.016,0.836,1.692,0.591,0.905,Wildtype
0.036,355309.152,672.517,0.965,1.417,0.706,0.851,Wildtype
0.081,356783.415,1733.39,0.97,1.396,0.716,0.928,Wildtype
0.199,362551.999,7237.777,0.862,1.66,0.602,0.913,Wildtype
0.092,357511.028,2362.923,0.963,1.397,0.716,0.879,Wildtype
0.098,357542.482,2320.551,0.933,1.178,0.849,0.885,Wildtype
0.076,356554.871,1734.751,1,1.347,0.742,0.894,Wildtype
0.07,356342.97,1544.63,0.929,1.04,0.962,0.857,Wildtype
0.09,357281.656,1973.385,0.962,1.165,0.858,0.909,Wildtype
0.007,351831.211,24.274,1,1,1,1,Wildtype
0.038,352330.351,342.666,0.943,1.311,0.763,0.875,Wildtype
0.098,352705.844,728.885,0.842,1.699,0.588,0.878,Wildtype
0.06,352652.759,604.614,1,1.166,0.857,0.904,Wildtype
0.163,353497.894,1375.231,0.943,1.498,0.667,0.918,Wildtype
0.045,352300.51,384.604,0.954,1.313,0.761,0.877,Wildtype
0.099,353274.565,1075.248,0.95,1.435,0.697,0.917,Wildtype
0.087,353049.688,900.445,1,1.338,0.747,0.906,Wildtype
0.096,352938.92,842.959,0.916,1.394,0.718,0.898,Wildtype
0.07,352925.974,806.899,1,1.311,0.763,0.918,Wildtype
0.043,352277.367,372.378,0.941,1.267,0.789,0.889,Wildtype
0.078,352700.025,658.798,0.974,1.27,0.787,0.896,Wildtype
0.11,353116.176,1083.361,0.951,1.213,0.824,0.904,Wildtype
0.213,354616.335,2465.845,0.898,1.599,0.626,0.922,Wildtype
0.148,353514.136,1333.087,0.872,1.723,0.58,0.911,Wildtype
0.056,352556.93,482.507,1,1.372,0.729,0.939,Wildtype
0.042,352303.003,354.55,1,1.322,0.756,0.885,Wildtype
0.208,353863.832,1665.256,0.795,2.035,0.491,0.906,Wildtype
0.101,353091.379,1007.066,0.967,1.389,0.72,0.926,Wildtype
0.114,353368.731,1194.56,0.983,1.215,0.823,0.92,Wildtype
0.083,352967.834,854.098,0.927,1.221,0.819,0.86,Wildtype
0.065,360328.701,2488.543,0.996,1.166,0.858,0.923,Wildtype
0.04,358899.695,1464.93,1,1.176,0.85,0.88,Wildtype
0.065,360364.604,2549.103,1,1.186,0.843,0.935,Wildtype
0.06,360469.102,2297.963,1,1.166,0.857,0.904,Wildtype
0.027,357828.117,866.525,0.976,1.439,0.695,0.857,Wildtype
0.134,364023.823,5200.795,0.887,1.672,0.598,0.897,Wildtype
0.02,357762.366,640.424,0.976,1.892,0.528,0.88,Wildtype
0.04,358934.78,1519.176,0.988,1.289,0.776,0.863,Wildtype
0.211,365706.315,6580.354,0.866,1.819,0.55,0.929,Wildtype
0.036,358527.447,1265.127,1,1.203,0.831,0.851,Wildtype
0.087,360814.354,2944.394,0.967,1.347,0.743,0.906,Wildtype
0.136,360872.73,2781.472,0.837,1.898,0.527,0.926,Wildtype
0.13,363204.783,4493.604,0.929,1.439,0.695,0.911,Wildtype
0.217,367731.716,8899.85,0.853,1.825,0.548,0.923,Wildtype
0.166,363469.286,4990.684,0.902,1.628,0.614,0.925,Wildtype
0.051,359970.586,1974.982,1,1.355,0.738,0.903,Wildtype
0.056,359675.132,2148.462,1,1.248,0.801,0.886,Wildtype
0.065,355655.034,1239.85,1,1.385,0.722,0.889,Wildtype
0.126,358646.096,3557.839,0.953,1.486,0.673,0.927,Wildtype
0.092,356961.093,2045.502,0.938,1.22,0.82,0.927,Wildtype
0.056,355377.851,1076.24,0.96,1.238,0.808,0.873,Wildtype
0.137,357534.99,2888.902,0.98,1.291,0.775,0.91,Wildtype
0.09,356299.432,1724.755,1,1.14,0.877,0.917,Wildtype
0.049,354803.156,727.635,1,1.21,0.826,0.947,Wildtype
0.049,355211.561,940.718,1,1.059,0.945,0.885,Wildtype
0.101,356851.523,2074.605,0.895,1.569,0.637,0.848,Wildtype
0.19,358524.61,3407.52,0.924,1.566,0.638,0.938,Wildtype
0.02,354312.349,318.155,1,1.372,0.729,0.957,Wildtype
