Area,Mean,StdDev,Circ.,AR,Round,Solidity
0.145,363819.513,5920.112,0.880,1.578,0.634,0.904
0.067,358963.331,1719.942,0.969,1.582,0.632,0.961
0.123,361543.348,3987.498,0.962,1.403,0.713,0.907
0.072,359868.204,2460.041,1.000,1.279,0.782,0.930
0.058,359612.151,2185.959,0.991,1.312,0.762,0.901
0.047,358794.742,1402.510,1.000,1.087,0.920,0.867
0.016,357430.691,380.196,1.000,1.000,1.000,1.000
0.087,361020.662,3114.352,0.995,1.225,0.816,0.873
0.188,367286.809,8589.606,0.974,1.076,0.929,0.929
0.112,363473.340,4790.842,0.984,1.115,0.897,0.939
0.023,358174.226,683.661,1.000,1.159,0.863,0.897
0.027,358260.727,800.071,1.000,1.137,0.880,0.968
0.018,357630.966,491.674,1.000,1.236,0.809,0.909
0.168,363697.022,4791.509,0.912,1.796,0.557,0.939
0.078,360468.065,2675.677,0.974,1.217,0.822,0.896
0.161,363307.309,4768.032,0.965,1.435,0.697,0.918
0.296,364410.483,5402.796,0.706,2.557,0.391,0.904
0.074,360441.659,2381.239,0.997,1.277,0.783,0.932
0.096,361147.217,2927.799,0.975,1.328,0.753,0.930
0.076,360400.353,2425.074,1.000,1.324,0.755,0.944
0.094,356982.525,2123.807,1.000,1.243,0.804,0.929
0.101,357394.884,2542.219,1.000,1.103,0.907,0.903
0.134,357944.523,2966.683,1.000,1.152,0.868,0.937
0.105,357122.120,2279.521,0.984,1.399,0.715,0.892
0.013,354423.750,203.392,1.000,1.069,0.936,0.875
0.056,355517.373,993.044,1.000,1.058,0.945,0.925
0.172,359202.310,4168.544,0.963,1.234,0.810,0.931
0.058,355326.927,967.697,1.000,1.204,0.831,0.889
0.070,356094.003,1396.680,1.000,1.307,0.765,0.918
0.201,359219.530,3966.804,0.881,1.604,0.623,0.937
0.029,356606.641,639.291,1.000,1.209,0.827,0.889
0.004,355925.453,130.218,1.000,2.000,0.500,1.000
0.083,359709.531,2786.653,1.000,1.052,0.950,0.968
0.094,360642.805,3383.828,0.982,1.163,0.860,0.881
0.018,357947.969,1499.323,0.925,2.500,0.400,1.000
0.067,358264.595,2051.304,1.000,1.000,1.000,0.902
0.276,361237.273,4460.292,0.584,2.745,0.364,0.823
0.072,359055.502,2380.294,1.000,1.149,0.870,0.920
0.108,363175.124,5516.808,1.000,1.111,0.900,0.938
0.157,361405.560,4368.265,0.957,1.349,0.741,0.930
0.016,357335.705,1058.348,0.832,2.386,0.419,0.947
0.179,362335.878,4864.061,0.915,1.479,0.676,0.900
0.065,358558.859,1744.115,1.000,1.269,0.788,0.923
0.052,360212.526,2112.019,1.000,1.076,0.929,0.906
0.027,358114.819,911.933,1.000,1.127,0.887,0.857
0.052,360217.519,2118.515,0.953,1.122,0.892,0.853
0.049,359196.176,1491.690,0.993,1.346,0.743,0.947
0.117,364294.454,5794.353,0.997,1.171,0.854,0.897
0.005,356987.906,117.658,1.000,1.464,0.683,0.857
0.103,362674.412,3897.483,0.985,1.397,0.716,0.927
0.036,358538.144,1195.768,1.000,1.165,0.858,0.889
0.166,366894.816,8258.822,0.964,1.236,0.809,0.915
0.192,361806.291,3028.569,0.771,2.293,0.436,0.955
