Area,Mean,StdDev,Circ.,AR,Round,Solidity
0.020,356442.369,570.668,1.000,1.372,0.729,0.957
0.081,358883.206,2419.440,0.970,1.549,0.646,0.928
0.168,357051.128,2756.809,0.833,1.695,0.590,0.890
0.166,356769.284,2447.740,0.752,2.213,0.452,0.885
0.170,356021.836,1872.416,0.827,1.791,0.558,0.913
0.009,353623.912,77.736,1.000,1.553,0.644,0.909
0.094,355523.683,1388.493,0.846,1.871,0.534,0.860
0.141,356712.498,2365.187,0.858,1.902,0.526,0.918
0.072,354848.321,923.871,0.862,1.890,0.529,0.909
0.061,354580.796,707.438,0.919,1.704,0.587,0.895
0.011,353780.365,109.472,1.000,1.500,0.667,1.000
0.005,353654.125,109.487,1.000,1.464,0.683,0.857
0.230,359228.309,4441.716,0.772,2.206,0.453,0.907
0.108,356404.231,2145.073,0.849,1.749,0.572,0.882
0.080,366165.761,8615.265,0.847,1.543,0.648,0.907
0.280,360563.670,3027.015,0.675,2.553,0.392,0.886
0.094,362112.546,4351.858,1.000,1.076,0.929,0.920
0.108,361677.973,4152.690,0.993,1.172,0.853,0.930
0.052,358500.980,1678.623,0.977,1.276,0.784,0.906
0.089,359726.927,2588.397,0.943,1.246,0.803,0.899
0.072,359260.445,2247.048,1.000,1.368,0.731,0.930
0.166,362430.055,4625.492,0.932,1.675,0.597,0.939
0.134,362821.043,4829.894,0.969,1.391,0.719,0.937
0.235,362527.112,4013.291,0.715,2.703,0.370,0.919
0.134,361621.979,3748.207,0.900,1.702,0.587,0.943
